AT1;I;0
AT2;I;1
PaT1;I;2
PaT2;I;3
PaT2;I;4
PaT2;I;5
PaT3;I;6
PaT3;I;7
PaT4;I;8
PaT4;I;9
PaT4;I;10
PaT5;I;11
PaT5;I;12
PaT5;I;13
PaT5;I;14
PaT5;I;15
PaT5;I;16
PaT6;I;17
PaT6;I;18
PaT6;I;19
PaT6;I;20
PaT6;I;21
PaT6;I;22
PaT7;I;23
PaT7;I;24
PaT7;I;25
PaT8;I;26
PaT9;I;27
PaT9;I;28
PaT9;I;29
PaT10;I;30
PaT10;I;31
SaT1;I;32
SaT2;I;33
SaT2;I;34
SaT2;I;35
SaT3;I;36
SaT3;I;37
SaT3;I;38
SaT3;I;39
SaT3;I;40
SaT3;I;41
SaT4;I;42
SaT5;I;43
SaT5;I;44
SaT5;I;45
SaT5;I;46
SaT5;I;47
SaT5;I;48
SaT6;I;49
SaT6;I;50
SaT6;I;51
SaT7;I;52
PbT1;I;53
PbT2;I;54
PbT2;I;55
PbT2;I;56
PbT3;I;57
PbT3;I;58
PbT4;I;59
PbT4;I;60
PbT4;I;61
PbT5;I;62
PbT5;I;63
PbT5;I;64
PbT5;I;65
PbT5;I;66
PbT5;I;67
PbT6;I;68
PbT6;I;69
PbT6;I;70
PbT6;I;71
PbT6;I;72
PbT6;I;73
PbT7;I;74
PbT7;I;75
PbT7;I;76
PbT8;I;77
PbT9;I;78
PbT9;I;79
PbT9;I;80
PbT10;I;81
PbT10;I;82
SbT1;I;83
SbT2;I;84
SbT2;I;85
SbT2;I;86
SbT3;I;87
SbT3;I;88
SbT3;I;89
SbT3;I;90
SbT3;I;91
SbT3;I;92
SbT4;I;93
SbT5;I;94
SbT5;I;95
SbT5;I;96
SbT5;I;97
SbT5;I;98
SbT5;I;99
SbT6;I;100
SbT6;I;101
SbT6;I;102
SbT7;I;103
MT1;I;104
MT2;I;105
MT2;I;106
MT2;I;107
MT3;I;108
MT3;I;109
MT4;I;110
MT5;I;111
MT6;I;112
MT6;I;113
MT6;I;114
MM;I;115
MM;I;116
MM;I;117
MR;I;118
MR;I;119
MR;I;120
MR;I;121
MR;I;122
MR;I;123
MR;I;124
MR;I;125
MR;I;126
MR;I;127
CT1;I;128
CT2;I;129
CT2;I;130
CT2;I;131
CT3;I;132
CT4;I;133
CT4;I;134
CT4;I;135
CT5;I;136
CT5;I;137
CT5;I;138
CT6;I;139
CT7;I;140
CT7;I;141
CT7;I;142
CT8;I;143
PM1;I;144
PM2;I;145
